,index,lang,textfile,Freq,file,PCComplexity,compressed,folder,LengthScript,Idiosyncratic,Type,Family,Ancestor,Sum_count,Rel_freq,Sum_prob
24059,003B2,grc,β,16049,10,69.5031218127738,1364,Grek,84,0,alphabet,Phoenician,Phnx,2321616,0.006912857251156091,0.9946429489486401
24060,003B3,ell,γ,29651,8,38.3889029008081,1201,Grek,84,0,alphabet,Phoenician,Phnx,1754307,0.01690183075140212,1.0000000000000002
24061,003B3,grc,γ,37423,10,38.3889029008081,1201,Grek,84,0,alphabet,Phoenician,Phnx,2321616,0.016119375469500555,0.9946429489486401
24062,003B4,ell,δ,30504,8,52.9240517869106,1381,Grek,84,0,alphabet,Phoenician,Phnx,1754307,0.01738806263669928,1.0000000000000002
24063,003B4,grc,δ,46144,10,52.9240517869106,1381,Grek,84,0,alphabet,Phoenician,Phnx,2321616,0.0198758106422423,0.9946429489486401
24064,003B5,ell,ε,135751,8,35.5625245961601,1136,Grek,84,0,alphabet,Phoenician,Phnx,1754307,0.077381552943698,1.0000000000000002
24065,003B5,grc,ε,222132,10,35.5625245961601,1136,Grek,84,0,alphabet,Phoenician,Phnx,2321616,0.09567990572084273,0.9946429489486401
24066,003B6,ell,ζ,5964,8,44.2813130202662,1298,Grek,84,0,alphabet,Phoenician,Phnx,1754307,0.003399633017482117,1.0000000000000002
24067,003B6,grc,ζ,4965,10,44.2813130202662,1298,Grek,84,0,alphabet,Phoenician,Phnx,2321616,0.0021385965637728205,0.9946429489486401
24068,003B7,ell,η,44314,8,45.5505428825906,1086,Grek,84,0,alphabet,Phoenician,Phnx,1754307,0.025260116957864273,1.0000000000000002
24069,003B7,grc,η,81676,10,45.5505428825906,1086,Grek,84,0,alphabet,Phoenician,Phnx,2321616,0.03518066725935728,0.9946429489486401
24070,003B8,ell,θ,28165,8,60.058568667777,1304,Grek,84,0,alphabet,Phoenician,Phnx,1754307,0.016054772625315867,1.0000000000000002
24071,003B8,grc,θ,37605,10,60.058568667777,1304,Grek,84,0,alphabet,Phoenician,Phnx,2321616,0.016197769140116194,0.9946429489486401
24072,003B9,ell,ι,114655,8,18.3452210299259,950,Grek,84,0,alphabet,Phoenician,Phnx,1754307,0.06535629168668881,1.0000000000000002
24073,003B9,grc,ι,201687,10,18.3452210299259,950,Grek,84,0,alphabet,Phoenician,Phnx,2321616,0.08687353981020117,0.9946429489486401
