,index,lang,textfile,Freq,PCComplexity,compressed,folder,LengthScript,Idiosyncratic,Type,Family,Ancestor
25134,00628,prs,ب,16863,32.9623603694556,1086,Arab,39,0,abjad,Middle East,Nbat
25135,00628,snd,ب,2478,32.9623603694556,1086,Arab,39,0,abjad,Middle East,Nbat
25136,00628,uig,ب,7712,32.9623603694556,1086,Arab,39,0,abjad,Middle East,Nbat
25137,00628,urd,ب,13259,32.9623603694556,1086,Arab,39,0,abjad,Middle East,Nbat
25138,00629,arb,ة,6698,25.138951435823103,1031,Arab,39,0,abjad,Middle East,Nbat
25139,00629,arz,ة,3374,25.138951435823103,1031,Arab,39,0,abjad,Middle East,Nbat
25140,0062A,arb,ت,13786,33.6785802747341,1042,Arab,39,0,abjad,Middle East,Nbat
25141,0062A,arz,ت,6921,33.6785802747341,1042,Arab,39,0,abjad,Middle East,Nbat
25142,0062A,pes,ت,28546,33.6785802747341,1042,Arab,39,0,abjad,Middle East,Nbat
25143,0062A,prs,ت,13567,33.6785802747341,1042,Arab,39,0,abjad,Middle East,Nbat
25144,0062A,snd,ت,6223,33.6785802747341,1042,Arab,39,0,abjad,Middle East,Nbat
25145,0062A,uig,ت,12572,33.6785802747341,1042,Arab,39,0,abjad,Middle East,Nbat
25146,0062A,urd,ت,18532,33.6785802747341,1042,Arab,39,0,abjad,Middle East,Nbat
25147,0062B,arb,ث,2451,34.6764446695366,1084,Arab,39,0,abjad,Middle East,Nbat
25148,0062B,arz,ث,1275,34.6764446695366,1084,Arab,39,0,abjad,Middle East,Nbat
25149,0062B,pes,ث,543,34.6764446695366,1084,Arab,39,0,abjad,Middle East,Nbat
25150,0062B,prs,ث,244,34.6764446695366,1084,Arab,39,0,abjad,Middle East,Nbat
25151,0062B,snd,ث,101,34.6764446695366,1084,Arab,39,0,abjad,Middle East,Nbat
25152,0062B,urd,ث,254,34.6764446695366,1084,Arab,39,0,abjad,Middle East,Nbat
25153,0062C,arb,ج,6167,42.534270557549604,1090,Arab,39,0,abjad,Middle East,Nbat
25154,0062C,arz,ج,3084,42.534270557549604,1090,Arab,39,0,abjad,Middle East,Nbat
25155,0062C,pes,ج,5181,42.534270557549604,1090,Arab,39,0,abjad,Middle East,Nbat
25156,0062C,prs,ج,2669,42.534270557549604,1090,Arab,39,0,abjad,Middle East,Nbat
25157,0062C,snd,ج,5698,42.534270557549604,1090,Arab,39,0,abjad,Middle East,Nbat
25158,0062C,uig,ج,1008,42.534270557549604,1090,Arab,39,0,abjad,Middle East,Nbat
25159,0062C,urd,ج,7566,42.534270557549604,1090,Arab,39,0,abjad,Middle East,Nbat
25160,0062D,arb,ح,7262,41.812843208787896,1066,Arab,39,0,abjad,Middle East,Nbat
25161,0062D,arz,ح,3674,41.812843208787896,1066,Arab,39,0,abjad,Middle East,Nbat
25162,0062D,pes,ح,4304,41.812843208787896,1066,Arab,39,0,abjad,Middle East,Nbat
25163,0062D,prs,ح,2181,41.812843208787896,1066,Arab,39,0,abjad,Middle East,Nbat
25164,0062D,snd,ح,652,41.812843208787896,1066,Arab,39,0,abjad,Middle East,Nbat
25165,0062D,urd,ح,2475,41.812843208787896,1066,Arab,39,0,abjad,Middle East,Nbat
25166,0062E,arb,خ,4547,42.748058089801,1106,Arab,39,0,abjad,Middle East,Nbat
25167,0062E,arz,خ,2103,42.748058089801,1106,Arab,39,0,abjad,Middle East,Nbat
25168,0062E,pes,خ,13652,42.748058089801,1106,Arab,39,0,abjad,Middle East,Nbat
25169,0062E,prs,خ,6486,42.748058089801,1106,Arab,39,0,abjad,Middle East,Nbat
25170,0062E,snd,خ,864,42.748058089801,1106,Arab,39,0,abjad,Middle East,Nbat
25171,0062E,uig,خ,2102,42.748058089801,1106,Arab,39,0,abjad,Middle East,Nbat
25172,0062E,urd,خ,2657,42.748058089801,1106,Arab,39,0,abjad,Middle East,Nbat
25173,0062F,arb,د,9990,16.54288715904,921,Arab,39,0,abjad,Middle East,Nbat
25174,0062F,arz,د,4972,16.54288715904,921,Arab,39,0,abjad,Middle East,Nbat
25175,0062F,pes,د,67416,16.54288715904,921,Arab,39,0,abjad,Middle East,Nbat
25176,0062F,prs,د,33628,16.54288715904,921,Arab,39,0,abjad,Middle East,Nbat
25177,0062F,snd,د,3673,16.54288715904,921,Arab,39,0,abjad,Middle East,Nbat
25178,0062F,uig,د,13169,16.54288715904,921,Arab,39,0,abjad,Middle East,Nbat
25179,0062F,urd,د,12819,16.54288715904,921,Arab,39,0,abjad,Middle East,Nbat
25180,00630,arb,ذ,5234,17.5393437012816,956,Arab,39,0,abjad,Middle East,Nbat
25181,00630,arz,ذ,2594,17.5393437012816,956,Arab,39,0,abjad,Middle East,Nbat
25182,00630,pes,ذ,1043,17.5393437012816,956,Arab,39,0,abjad,Middle East,Nbat
25183,00630,prs,ذ,467,17.5393437012816,956,Arab,39,0,abjad,Middle East,Nbat
25184,00630,snd,ذ,55,17.5393437012816,956,Arab,39,0,abjad,Middle East,Nbat
25185,00630,urd,ذ,192,17.5393437012816,956,Arab,39,0,abjad,Middle East,Nbat
25186,00631,arb,ر,19235,15.1161015801444,909,Arab,39,0,abjad,Middle East,Nbat
25187,00631,arz,ر,9979,15.1161015801444,909,Arab,39,0,abjad,Middle East,Nbat
25188,00631,pes,ر,60042,15.1161015801444,909,Arab,39,0,abjad,Middle East,Nbat
25189,00631,prs,ر,28632,15.1161015801444,909,Arab,39,0,abjad,Middle East,Nbat
25190,00631,snd,ر,6901,15.1161015801444,909,Arab,39,0,abjad,Middle East,Nbat
25191,00631,uig,ر,18700,15.1161015801444,909,Arab,39,0,abjad,Middle East,Nbat
25192,00631,urd,ر,28941,15.1161015801444,909,Arab,39,0,abjad,Middle East,Nbat
25193,00632,arb,ز,1769,15.912325440102698,974,Arab,39,0,abjad,Middle East,Nbat
25194,00632,arz,ز,819,15.912325440102698,974,Arab,39,0,abjad,Middle East,Nbat
